Company_Name,Stock_Code,Day,WeekDay,Week,Month,Month_Name,Quarter,Opening_Value,Highest_Value,Lowest_Value,Closing_Value,Volume,Daily_Closing_Variation,Year
Tesla,TSLA,2024-04-04,Thursday,14,4,April,2,170.07,177.19,168.01,171.11,122061224,1.6213326998455981,2024
Tesla,TSLA,2024-04-03,Wednesday,14,4,April,2,164.02,168.82,163.28,168.38,82223543,1.050231050831183,2024
Tesla,TSLA,2024-04-02,Tuesday,14,4,April,2,164.75,167.69,163.43,166.63,115344925,-4.902408400867483,2024
Tesla,TSLA,2024-04-01,Monday,14,4,April,2,176.17,176.75,170.21,175.22,80751684,-0.32425052619602546,2024
Tesla,TSLA,2024-03-28,Thursday,13,3,March,1,177.45,179.57,175.3,175.79,77654838,-2.2465662014124566,2024
Tesla,TSLA,2024-03-27,Wednesday,13,3,March,1,181.41,181.91,176.0,179.83,81804043,1.2157370405808663,2024
Tesla,TSLA,2024-03-26,Tuesday,13,3,March,1,178.58,184.25,177.38,177.67,113186227,2.9195388982216257,2024
Tesla,TSLA,2024-03-25,Monday,13,3,March,1,168.76,175.24,168.73,172.63,74228615,1.0536790961774762,2024
Tesla,TSLA,2024-03-22,Friday,12,3,March,1,166.69,171.2,166.3,170.83,75580637,-1.1514870964008683,2024
Tesla,TSLA,2024-03-21,Thursday,12,3,March,1,176.39,178.18,171.8,172.82,73178014,-1.6167596493225567,2024
Tesla,TSLA,2024-03-20,Wednesday,12,3,March,1,173.0,176.25,170.82,175.66,83846726,2.533271071678732,2024
Tesla,TSLA,2024-03-19,Tuesday,12,3,March,1,172.36,172.82,167.42,171.32,77271428,-1.4269275028768802,2024
Tesla,TSLA,2024-03-18,Monday,12,3,March,1,170.02,174.72,165.9,173.8,108214358,6.254203093476811,2024
Tesla,TSLA,2024-03-15,Friday,11,3,March,1,163.16,165.1845,160.76,163.57,97146832,0.6584615384615342,2024
Tesla,TSLA,2024-03-14,Thursday,11,3,March,1,167.77,171.17,160.51,162.5,125494925,-4.118480056643846,2024
Tesla,TSLA,2024-03-13,Wednesday,11,3,March,1,173.05,176.05,169.15,169.48,104717978,-4.539822011940973,2024
Tesla,TSLA,2024-03-12,Tuesday,11,3,March,1,177.77,179.43,172.4101,177.54,87009098,-0.1293806604039029,2024
Tesla,TSLA,2024-03-11,Monday,11,3,March,1,175.45,182.87,174.8,177.77,85013157,1.3858788639215278,2024
Tesla,TSLA,2024-03-08,Friday,10,3,March,1,181.5,182.73,174.7,175.34,85544644,-1.8527847746991337,2024
Tesla,TSLA,2024-03-07,Thursday,10,3,March,1,174.35,180.04,173.7,178.65,102129004,1.195196556021306,2024
Tesla,TSLA,2024-03-06,Wednesday,10,3,March,1,179.99,181.576,173.7,176.54,107920944,-2.323780015491876,2024
Tesla,TSLA,2024-03-05,Tuesday,10,3,March,1,183.05,184.59,177.57,180.74,119660758,-3.933241203359189,2024
Tesla,TSLA,2024-03-04,Monday,10,3,March,1,198.73,199.75,186.72,188.14,134334869,-7.155546782471378,2024
Tesla,TSLA,2024-03-01,Friday,9,3,March,1,200.52,204.52,198.5,202.64,82243119,0.3764612641172929,2024
Tesla,TSLA,2024-02-29,Thursday,9,2,February,1,204.18,205.28,198.4463,201.88,85906974,-0.07919223916056058,2024
Tesla,TSLA,2024-02-28,Wednesday,9,2,February,1,200.42,205.3,198.44,202.04,99806173,1.1565613578330758,2024
Tesla,TSLA,2024-02-27,Tuesday,9,2,February,1,204.04,205.6,198.26,199.73,108645412,0.16549648946839723,2024
